Customer_ID,Customer_Name,Gender,Date_of_Birth,Mobile_Number,Email_ID,Occupation,City,State_Name,Customer_Segment
1,Falguni Mane,O,1999-09-19,4178680149,grajagopal@example.net,Teacher,Faridabad,Bihar,VIP
2,Baghyawati Arora,F,1976-03-31,3156494563,tbasak@example.com,Bank Employee,Panchkula,Meghalaya,VIP
3,Chandresh Shankar,O,1979-10-02,3009464935,vyohannan@example.net,Bank Employee,Cuttack,Himachal Pradesh,Premium
4,Falan Chahal,M,1965-03-21,5440351680,viraj90@example.net,Software Engineer,Bhilwara,Nagaland,Regular
5,Mason Dhillon,O,1993-02-24,3594757053,spadmanabhan@example.com,Student,Lucknow,Mizoram,VIP
6,Simon Sethi,O,1977-07-04,4590626555,yatan87@example.com,Doctor,Sasaram,Kerala,Premium
7,Gaurav Prashad,F,1993-07-12,4519806319,cvarty@example.net,Government Employee,Gwalior,Chhattisgarh,Premium
8,Zaid Bala,F,2004-01-13,4388646479,gsrivastava@example.org,Teacher,Kottayam,Arunachal Pradesh,Premium
9,Fiyaz Upadhyay,F,1999-02-22,0213967287,akar@example.org,Software Engineer,Karaikudi,Rajasthan,Premium
10,Daksha Kunda,M,1993-06-23,3903403947,karpeyoshita@example.net,Analyst,Serampore,Goa,VIP
11,Jagdish Kota,F,1982-07-29,9677044193,ymagar@example.com,Bank Employee,Vellore,West Bengal,VIP
12,Parth Varma,F,2001-03-26,9369284275,vincent60@example.org,Student,Jhansi,Arunachal Pradesh,Premium
13,Ucchal Sahni,O,1994-04-18,3354593008,patlajatin@example.com,Analyst,Narasaraopet,Uttarakhand,VIP
14,Ishani Mangal,O,1961-09-08,6457103755,harshsaha@example.com,Bank Employee,Nadiad,Maharashtra,Premium
15,Gayathri Sawhney,M,1990-01-29,8489751463,bachittarbains@example.com,Analyst,Begusarai,Mizoram,Premium
16,Darsh Mallick,O,1972-03-13,4085355469,okara@example.com,Student,Parbhani,Mizoram,Regular
17,Adweta Joshi,O,1972-08-06,7600607309,sanghviyachana@example.com,Government Employee,Kanpur,Odisha,Premium
18,Christopher Bail,M,1969-06-07,6174993673,chameli30@example.com,Student,Jabalpur,Punjab,Regular
19,Baljiwan Chander,F,1966-10-16,5765979854,lraman@example.com,Analyst,Thanjavur,Odisha,VIP
20,Aayush Bains,O,1975-09-29,9917030705,vasudharadhakrishnan@example.com,Teacher,Bareilly,Assam,Premium
21,Idika Khurana,F,1967-05-08,2480508841,csandhu@example.net,Bank Employee,Korba,Nagaland,VIP
22,Ranbir Palla,O,1992-09-23,1862478275,tatapallavi@example.org,Doctor,Kirari Suleman Nagar,Kerala,Premium
23,Upkaar Hari,O,1962-05-16,3034675335,amarasaha@example.org,Software Engineer,Khandwa,Gujarat,VIP
24,Geetika Sachdev,M,1993-01-12,6459141378,hkamdar@example.net,Student,Ranchi,Maharashtra,Premium
25,Bhavini Bath,O,1962-08-19,7444578734,sdate@example.org,Business Owner,Tirunelveli,Nagaland,Premium
26,Girish Venkatesh,O,1972-09-18,9304522646,dadaranbir@example.com,Analyst,Bikaner,Andhra Pradesh,Premium
27,Samuel Ghosh,F,1974-04-21,3899134919,kratti@example.com,Government Employee,Moradabad,Jharkhand,Regular
